1,2,3,4,5
0,0,0,0,0
0,0,0,0,0
0.4,0.4,0.33,0.33,0.7
6,6,6,6,6
19200,19200,19200,19200,19200
0.34,0.34,0.2,0.2,0.2
72,72,72,72,72
0.9889,0.9889,0.9889,0.9889,0.9889
-0.4706,-0.4706,-0.4706,-0.4706,-0.4706
0.9028,0.9028,0.9028,0.9028,0.9028
0.7,0.7,0.7,0.7,0.7
0.7,0.7,0.7,0.7,0.7
0.7,0.7,0.7,0.7,0.7
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0.59,0.59,0.59,0.59,0.59
0.032,0.032,0.056,0.063,0.04
0.0095,0.0095,0.035,0.027,0.0105
0.01,0.01,0.022,0.018,0.04
0.004,0.004,0.007,0.01,0.0105
0.009,0.009,0.008,0.006,0.0052
0.0015,0.0015,0.0027,0.0012,0.0015
0.0035,0.0035,0.0052,0.002,0.0052
0.0005,0.0005,0.0011,0.0008,0.0015
0.008,0.008,0.026,0.016,0.0475
0.003,0.003,0.012,0.004,0.0095
0.024,0.024,0.024,0.034,0.0475
0.01,0.01,0.007,0.009,0.0095
1,1,1,1,1
0.42,0.42,0.45,0.45,0.42
0.005,0.005,0.0125,0.022,0.03
0.0015,0.0015,0.003,0.005,0.01
84,84,36,20,14
280,280,150,90,42
0.32,0.32,0.32,0.32,0.32
0.005,0.005,0.005,0.005,0.02
0.001,0.001,0.001,0.001,0.001
0,0,0.8,0.8,0
0,0.2,0,0,0
