0.03,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
650,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
600,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
40,210,415,600,600,Nan,Nan,Nan,Nan
0,0.6,1.7,3.1,15,Nan,Nan,Nan,Nan
30,155,380,650,650,Nan,Nan,Nan,Nan
0,0.5,2,4.5,15,Nan,Nan,Nan,Nan
40,210,410,600,600,Nan,Nan,Nan,Nan
0,0.6,1.7,3.1,15,Nan,Nan,Nan,Nan
30,87,138,218,254,260,Nan,Nan,Nan
0,0.5,3,7,10,15,Nan,Nan,Nan
256,256,0,0,Nan,Nan,Nan,Nan,Nan
0,0.083333333,0.833333333,1.5,Nan,Nan,Nan,Nan,Nan
0.2,0.3,0.4,0.5,0.6,0.7,0.8,Nan,Nan
120,182.5,182.5,365,547.5,730,730,Nan,Nan
0.2,0.3,0.4,0.5,0.6,0.7,0.8,Nan,Nan
182.5,182.5,365,547.5,730,912.5,912.5,Nan,Nan
282,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
0,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
0.75,1,1,0.625,Nan,Nan,Nan,Nan,Nan
1.5,3.5,8,15,Nan,Nan,Nan,Nan,Nan
340,240,155,218,254,260,260,Nan,Nan
1.5,2.166666667,4,7,10,12,15,Nan,Nan
0,0,0,0,Nan,Nan,Nan,Nan,Nan
0,0,0,0,Nan,Nan,Nan,Nan,Nan
0,0.25,6,15,Nan,Nan,Nan,Nan,Nan
10,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
130,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
19.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
3.2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
7300,7300,0,Nan,Nan,Nan,Nan,Nan,Nan
0,0.083333333,1,Nan,Nan,Nan,Nan,Nan,Nan
27,32,37,40,42,Nan,Nan,Nan,Nan
0,0.25,0.5,0.833333333,1.5,Nan,Nan,Nan,Nan
0.8,0.8,1,1,1.6,Nan,Nan,Nan,Nan
2,3,5,8,15,Nan,Nan,Nan,Nan
30,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1,1,1,1,1,Nan,Nan,Nan,Nan
