0.03,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
400,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
300,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
30,139,214,255,280,300,300,Nan,Nan
0,1.4,3.1,4.1,6.1,12,20,Nan,Nan
30,159,280,345,388,400,400,Nan,Nan
0,2.1,4.1,6.7,9.1,12,20,Nan,Nan
30,139,214,255,280,300,300,Nan,Nan
0,1.4,3.1,4.1,6.1,12,20,Nan,Nan
18,40,65,78,95,130,140,Nan,Nan
0,1.4,3.1,4.1,6.1,12,20,Nan,Nan
128,128,10,10,Nan,Nan,Nan,Nan,Nan
0,0.0625,0.625,1.5,Nan,Nan,Nan,Nan,Nan
0.2,0.3,0.4,0.5,0.6,0.7,0.8,Nan,Nan
120,182.5,182.5,365,547.5,547.5,547.5,Nan,Nan
0.2,0.3,0.4,0.5,0.6,0.7,0.8,Nan,Nan
182.5,182.5,365,547.5,730,730,730,Nan,Nan
282,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
0.75,1,1,0.85,0,Nan,Nan,Nan,Nan
3.5,5,9,10,20,Nan,Nan,Nan,Nan
230,169,115,110,120,140,145,Nan,Nan
3.5,4.23,5,6.1,12,13,20,Nan,Nan
0,0,0,0,0,0,0,1,Nan
0,0,0,0,0,0,0,1,Nan
0,1,2,3,4,5,12,20,Nan
18,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
142,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
23.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
3.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
2200,2200,1250,0,Nan,Nan,Nan,Nan,Nan
0,0.166666667,0.75,1.5,Nan,Nan,Nan,Nan,Nan
40.5,48,55.5,60,63,Nan,Nan,Nan,Nan
0,0.25,0.5,0.833333333,1.5,Nan,Nan,Nan,Nan
0.8,0.8,1,1,0.6,0.3,Nan,Nan,Nan
3.5,4.5,5.5,8,15,20,Nan,Nan,Nan
15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1.1,1.35,1.286,1.2,1,Nan,Nan,Nan,Nan
